实体,属性,值
女装,描述,女士穿着的衣物
灵峰,地理位置,浙江省温州乐清境内
灵峰,面积,46平方公里
灵峰,电话区号,0577
灵峰,描述,灵峰为雁荡山的东大门景区，总面积约46平方公里。
灵峰,适宜游玩季节,四季皆宜
灵峰,开放时间,8：00—18：00
灵峰,标签,地形地貌
灵峰,别名,东大门景区
灵峰,中文名称,灵峰
灵峰,邮政区码,325600
灵峰,建议游玩时长,半天
灵峰,门票价格,日景50元，游览夜景另加50元
灵峰,行政区类别,景区
灵峰,政府驻地,乐清市
灵峰,著名景点,观音洞，北斗洞，合掌峰
灵峰,所属地区,雁荡山
雁荡山,地理位置,浙江省温州市和台州市南部
雁荡山,特点,芦苇茂密，结草为荡
雁荡山,英文名称,Yendang Mountain
雁荡山,描述,雁荡山以山水奇秀闻名，素有“海上名山、寰中绝胜”之誉，史称中国“东南第一山”，主体位于浙江省温州市东北部海滨，小部在台州市温岭南境。
雁荡山,总面积,450平方公里
雁荡山,适宜游玩季节,5月-11月
雁荡山,开放时间,5:30~18:00
雁荡山,标签,山脉
雁荡山,中文名称,雁荡山
雁荡山,形成时间,一亿二千万年前
雁荡山,山脉类型,流纹质破火地
雁荡山,所属山系,环太平洋大陆边缘火山带
雁荡山,所属地区,中国华东
雁荡山,主峰,北雁荡山和南雁荡山
